ID,avgX,avgY,avgSDX,avgSDY,avgV,avgA,avgSDV,avgSDA,avgP,maxV,maxA,maxP,pen_down,pen_up,pen_ratio,sign_width,sign_height,width_height_ratio,total_sign_duration,range_pressure,range_velocity,range_acceleration,F
1,5444.476190476191,4890.714285714285,2844593.6065714275,1093484.2040357147,30087.33078571429,1311362.4719285716,474588075.8222618,1590538926948.8862,628.4642857142857,121930.15199999999,7388967.211,837.0,78.0,6.0,13.0,5333.0,3641.0,1.4647074979401264,1212.0,786.0,121930.15199999999,7388967.211,0
1,4680.8,5325.541176470589,2722303.195294117,996745.424764706,28010.484847058822,1068251.957682353,291842339.232153,900406330856.9688,600.964705882353,91087.599,5409874.357999999,802.0,79.0,6.0,13.166666666666666,5327.0,3434.0,1.5512521840419335,1192.0,732.0,91087.599,5409874.357999999,0
1,4845.0888888888885,4865.122222222222,2373369.5698888893,1081331.1739222219,32769.60751111111,1302167.1283888894,337473199.58118886,1203559300454.258,587.3333333333334,79522.925,6947441.879,809.0,84.0,6.0,14.0,5238.0,3700.0,1.4156756756756756,1262.0,780.0,79522.925,6947441.879,0
1,5785.963414634146,4738.292682926829,2844039.596243903,1063888.4508780485,30366.53517073171,1231116.4430975611,337010586.4915977,793788783164.5874,607.670731707317,71264.308,3310209.075,837.0,76.0,6.0,12.666666666666666,5301.0,3577.0,1.4819681297176406,1202.0,812.0,71264.308,3310209.075,0
1,4799.870967741936,5569.5161290322585,1750608.9841720436,987979.4437419352,31919.07172043011,2973347.1289999997,563574936.05257,137064654155796.36,541.1397849462365,123927.597,113903136.464,832.0,85.0,8.0,10.625,4208.0,3615.0,1.1640387275242048,1352.0,831.0,123927.597,113903136.464,0
1,5528.378048780488,4655.426829268293,2235981.4546219506,892849.439756098,28414.768585365862,1357103.4887073168,379431026.80553657,1295930987316.4202,530.439024390244,94266.538,5936030.352000001,829.0,74.0,8.0,9.25,4774.0,3583.0,1.3324030142338823,1252.0,764.0,94266.538,5936030.352000001,0
1,5805.604395604396,4268.9010989010985,2373501.9094615383,905303.8253846148,29033.702263736264,1382429.4726043958,389833099.36071426,1563418679248.6426,562.8021978021978,95193.883,8010066.637999999,827.0,83.0,8.0,10.375,5066.0,3496.0,1.4490846681922196,1272.0,826.0,95193.883,8010066.637999999,0
1,6430.325581395349,4448.616279069767,2470622.707965116,610370.3062790699,25675.959790697678,1403202.6970116275,307815246.48634887,1451678158372.0964,567.3023255813954,66351.492,7499034.985,839.0,78.0,8.0,9.75,4778.0,2757.0,1.7330431628581793,1402.0,763.0,66351.492,7499034.985,0
1,5722.8494623655915,4888.397849462365,3710972.94507527,1216212.4546021507,35235.84724731182,2005230.9600215058,569243166.6782258,3145667728162.2896,587.5913978494624,110690.68400000001,11309151.535999998,827.0,85.0,8.0,10.625,5904.0,3956.0,1.4924165824064712,1532.0,652.0,110690.68400000001,11309151.535999998,0
1,6089.619047619048,4825.690476190476,3384231.416535715,970729.421392857,33605.77055952381,2412164.908464286,543416022.2796904,19540867409251.445,617.2619047619048,118552.972,38776731.024000004,834.0,76.0,8.0,9.5,5969.0,3724.0,1.6028464017185822,1392.0,673.0,118552.972,38776731.024000004,0
1,5049.484210526316,4375.515789473684,3391704.8221578957,1327897.679021052,35377.882978947346,4118357.336031578,872990558.137274,563057495466036.0,666.0315789473684,253216.81,232346944.354,943.0,89.0,6.0,14.833333333333334,5729.0,3817.0,1.5009169504846738,1381.0,942.0,253216.81,232346944.354,0
1,6196.237113402062,4362.030927835051,3743100.881896907,1481230.7103711346,35495.48090721651,1338495.9031237117,488021037.4242372,1434126592096.5269,693.1134020618557,115383.561,7618025.522999999,976.0,91.0,6.0,15.166666666666666,6143.0,4359.0,1.4092681807754073,1282.0,664.0,115383.561,7618025.522999999,0
1,5691.631578947368,4415.873684210526,4212765.222157895,1207483.1209263154,34712.110536842105,1446624.049642105,376870786.5985262,1329257275810.6062,607.4842105263158,88258.314,5683145.172,796.0,89.0,6.0,14.833333333333334,6583.0,3710.0,1.7743935309973047,1462.0,679.0,88258.314,5683145.172,0
1,6270.764705882353,4342.990196078431,4026754.1211274513,1015002.8724411764,32165.44506862745,1373569.1421764707,293474702.2912647,1061475241455.6305,591.0882352941177,72599.254,5274108.398,809.0,96.0,6.0,16.0,6022.0,3790.0,1.5889182058047493,1492.0,638.0,72599.254,5274108.398,0
1,5757.833333333333,4218.981481481482,4075259.996962962,1009909.0943425929,37615.29379629631,4068306.860083333,893022998.7576388,539743711428873.94,580.4074074074074,263924.942,241842175.67700002,858.0,103.0,5.0,20.6,6365.0,3566.0,1.784913067863152,1563.0,855.0,263924.942,241842175.67700002,0
